station,date_ym,total_rainfall,no_of_rainy_days
Newton,2015-01-01,122.60000000000001,12
Newton,2015-02-01,81.6,5
Newton,2015-03-01,145.6,12
Newton,2015-04-01,152.2,17
Newton,2015-05-01,169.8,10
Newton,2015-06-01,41.4,7
Newton,2015-07-01,74.6,12
Newton,2015-08-01,220.2,16
Newton,2015-09-01,151.2,8
Newton,2015-10-01,87.6,10
Newton,2015-11-01,218.4,18
Newton,2015-12-01,360.4,19
Newton,2016-01-01,190.20000000000002,23
Newton,2016-02-01,214.4,13
Newton,2016-03-01,119.0,10
Newton,2016-04-01,161.0,19
Newton,2016-05-01,156.4,17
Newton,2016-06-01,152.2,17
Newton,2016-07-01,165.4,19
Newton,2016-08-01,19.0,3
Newton,2016-12-01,177.4,19
Newton,2017-01-01,250.0,16
Newton,2017-02-01,123.4,12
Newton,2017-03-01,218.0,22
Newton,2017-04-01,66.4,8
Newton,2017-05-01,218.20000000000002,16
Newton,2017-06-01,125.6,8
Newton,2017-07-01,0.0,0
Newton,2017-08-01,163.2,17
Newton,2017-09-01,129.0,18
Newton,2017-10-01,245.0,19
Newton,2017-11-01,285.6,25
Newton,2017-12-01,222.0,21
Newton,2018-01-01,360.40000000000003,19
Newton,2018-02-01,16.400000000000002,6
Newton,2018-03-01,142.8,14
Newton,2018-04-01,209.39999999999998,15
Newton,2018-05-01,214.6,21
Newton,2018-06-01,239.6,15
Newton,2018-07-01,67.6,12
Newton,2018-08-01,87.6,9
Newton,2018-09-01,252.0,13
Newton,2018-10-01,188.6,16
Newton,2018-11-01,413.0,27
Newton,2018-12-01,259.8,20
Newton,2019-01-01,127.4,10
Newton,2019-02-01,19.0,6
Newton,2019-03-01,70.0,8
Newton,2019-04-01,266.8,16
Newton,2019-05-01,186.4,19
Newton,2019-06-01,243.6,18
Newton,2019-07-01,40.6,7
Newton,2019-08-01,47.8,6
Newton,2019-09-01,66.4,5
Newton,2019-10-01,105.2,13
Newton,2019-11-01,154.4,14
Newton,2019-12-01,260.8,16
Newton,2020-01-01,145.2,13
Newton,2020-02-01,103.39999999999999,9
Newton,2020-03-01,108.2,13
Newton,2020-04-01,259.4,16
Newton,2020-05-01,248.6,16
Newton,2020-06-01,312.59999999999997,21
Newton,2020-07-01,128.8,19
Newton,2020-08-01,237.0,14
Newton,2020-09-01,235.8,18
Newton,2020-10-01,192.8,20
Newton,2020-11-01,216.8,17
Newton,2020-12-01,287.2,24
Newton,2021-01-01,455.4,18
Newton,2021-02-01,13.6,8
